in s,C1 in V,C2 in V,ARB0
-5.173592E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.173568E-04,5.37109E-02,-2.92969E-02,6.1817395E-06
-5.173544E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.173520E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
-5.173496E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
-5.173472E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.173448E-04,2.44141E-02,-2.92969E-02,6.1817395E-06
-5.173424E-04,4.88281E-03,4.88281E-02,6.1817395E-06
-5.173400E-04,3.41797E-02,9.76562E-03,6.1817395E-06
-5.173376E-04,4.39453E-02,2.92969E-02,6.1817395E-06
-5.173352E-04,4.39453E-02,-2.92969E-02,6.1817395E-06
-5.173328E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.173304E-04,2.44141E-02,-4.88281E-02,6.1817395E-06
-5.173280E-04,-1.46484E-02,9.76562E-03,6.1817395E-06
-5.173256E-04,1.46484E-02,2.92969E-02,6.1817395E-06
-5.173232E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.173208E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.173184E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.173160E-04,1.46484E-02,-2.92969E-02,6.1817395E-06
-5.173136E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.173112E-04,3.41797E-02,-6.83594E-02,6.1817395E-06
-5.173088E-04,4.39453E-02,-9.76562E-03,6.1817395E-06
-5.173064E-04,2.44141E-02,4.88281E-02,6.1817395E-06
-5.173040E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.173016E-04,3.41797E-02,-6.83594E-02,6.1817395E-06
-5.172992E-04,3.41797E-02,-9.76562E-03,6.1817395E-06
-5.172968E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.172944E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.172920E-04,-4.88281E-03,6.83594E-02,6.1817395E-06
-5.172896E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.172872E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.172848E-04,2.44141E-02,-4.88281E-02,6.1817395E-06
-5.172824E-04,4.88281E-03,4.88281E-02,6.1817395E-06
-5.172800E-04,-4.88281E-03,-4.88281E-02,6.1817395E-06
-5.172776E-04,3.41797E-02,-2.92969E-02,6.1817395E-06
-5.172752E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.172728E-04,2.44141E-02,-8.78906E-02,6.1817395E-06
-5.172704E-04,4.39453E-02,2.92969E-02,6.1817395E-06
-5.172680E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.172656E-04,3.41797E-02,6.83594E-02,6.1817395E-06
-5.172632E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.172608E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.172584E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.172560E-04,-2.44141E-02,4.88281E-02,6.1817395E-06
-5.172536E-04,-4.88281E-03,-4.88281E-02,6.1817395E-06
-5.172512E-04,5.37109E-02,-9.76562E-03,6.1817395E-06
-5.172488E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.172464E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.172440E-04,-4.88281E-03,-2.92969E-02,6.1817395E-06
-5.172416E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.172392E-04,2.44141E-02,2.92969E-02,6.1817395E-06
-5.172368E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.172344E-04,1.46484E-02,6.83594E-02,6.1817395E-06
-5.172320E-04,2.44141E-02,9.76562E-03,6.1817395E-06
-5.172296E-04,3.41797E-02,4.88281E-02,6.1817395E-06
-5.172272E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.172248E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.172224E-04,-1.46484E-02,2.92969E-02,6.1817395E-06
-5.172200E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.172176E-04,-1.46484E-02,9.76562E-03,6.1817395E-06
-5.172152E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.172128E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.172104E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.172080E-04,3.41797E-02,-2.92969E-02,6.1817395E-06
-5.172056E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.172032E-04,3.41797E-02,4.88281E-02,6.1817395E-06
-5.172008E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.171984E-04,4.88281E-03,4.88281E-02,6.1817395E-06
-5.171960E-04,1.46484E-02,8.78906E-02,6.1817395E-06
-5.171936E-04,-3.41797E-02,4.88281E-02,6.1817395E-06
-5.171912E-04,1.46484E-02,2.92969E-02,6.1817395E-06
-5.171888E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.171864E-04,4.88281E-03,6.83594E-02,6.1817395E-06
-5.171840E-04,1.46484E-02,4.88281E-02,6.1817395E-06
-5.171816E-04,2.44141E-02,9.76562E-03,6.1817395E-06
-5.171792E-04,4.88281E-03,6.83594E-02,6.1817395E-06
-5.171768E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.171744E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.171720E-04,3.41797E-02,2.92969E-02,6.1817395E-06
-5.171696E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.171672E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.171648E-04,-1.46484E-02,6.83594E-02,6.1817395E-06
-5.171624E-04,1.46484E-02,-4.88281E-02,6.1817395E-06
-5.171600E-04,3.41797E-02,-9.76562E-03,6.1817395E-06
-5.171576E-04,3.41797E-02,-4.88281E-02,6.1817395E-06
-5.171552E-04,1.46484E-02,-2.92969E-02,6.1817395E-06
-5.171528E-04,2.44141E-02,4.88281E-02,6.1817395E-06
-5.171504E-04,3.41797E-02,-4.88281E-02,6.1817395E-06
-5.171480E-04,5.37109E-02,9.76562E-03,6.1817395E-06
-5.171456E-04,3.41797E-02,-9.76562E-03,6.1817395E-06
-5.171432E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.171408E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.171384E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.171360E-04,2.44141E-02,2.92969E-02,6.1817395E-06
-5.171336E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.171312E-04,-3.41797E-02,2.92969E-02,6.1817395E-06
