time_s,vin
1.544559999999999998e-05,2.874260000000000037e+00
1.544639999999999834e-05,2.913320000000000132e+00
1.544720000000000010e-05,2.874260000000000037e+00
1.544799999999999846e-05,2.932850000000000179e+00
1.544880000000000022e-05,2.874260000000000037e+00
1.544959999999999858e-05,2.893790000000000084e+00
1.545040000000000034e-05,2.874260000000000037e+00
1.545119999999999870e-05,2.903550000000000075e+00
1.545200000000000046e-05,2.884020000000000028e+00
1.545279999999999882e-05,2.893790000000000084e+00
1.545360000000000058e-05,2.874260000000000037e+00
1.545439999999999894e-05,2.913320000000000132e+00
1.545520000000000070e-05,2.884020000000000028e+00
1.545599999999999906e-05,2.913320000000000132e+00
1.545680000000000082e-05,2.874260000000000037e+00
1.545759999999999918e-05,2.903550000000000075e+00
1.545840000000000094e-05,2.884020000000000028e+00
1.545919999999999930e-05,2.903550000000000075e+00
1.546000000000000106e-05,2.874260000000000037e+00
1.546079999999999942e-05,2.913320000000000132e+00
1.546160000000000118e-05,2.874260000000000037e+00
1.546239999999999954e-05,2.932850000000000179e+00
1.546320000000000130e-05,2.893790000000000084e+00
1.546399999999999966e-05,2.913320000000000132e+00
1.546480000000000142e-05,2.893790000000000084e+00
1.546559999999999978e-05,2.913320000000000132e+00
1.546640000000000154e-05,2.893790000000000084e+00
1.546719999999999990e-05,2.923090000000000188e+00
1.546800000000000166e-05,2.884020000000000028e+00
1.546880000000000003e-05,2.913320000000000132e+00
1.546959999999999839e-05,2.884020000000000028e+00
1.547040000000000015e-05,2.903550000000000075e+00
1.547119999999999851e-05,2.893790000000000084e+00
1.547200000000000027e-05,2.913320000000000132e+00
1.547279999999999863e-05,2.884020000000000028e+00
1.547360000000000039e-05,2.923090000000000188e+00
1.547439999999999875e-05,2.874260000000000037e+00
1.547520000000000051e-05,2.913320000000000132e+00
1.547599999999999887e-05,2.893790000000000084e+00
1.547680000000000063e-05,2.913320000000000132e+00
1.547759999999999899e-05,2.903550000000000075e+00
1.547840000000000075e-05,2.903550000000000075e+00
1.547919999999999911e-05,2.903550000000000075e+00
1.548000000000000087e-05,2.893790000000000084e+00
1.548079999999999923e-05,2.903550000000000075e+00
