time_s,h
4.628080000000347533e-05,3.521275090130975526e-04
4.628160000000347709e-05,6.258400280761961323e-03
4.628240000000347884e-05,1.660934674501410996e-02
4.628320000000347382e-05,6.342827696411726564e-03
4.628400000000347557e-05,4.594906797594288522e-03
4.628480000000347733e-05,2.279462184317684187e-02
4.628560000000347908e-05,-5.383010752754462634e-03
4.628640000000348084e-05,-1.595636141218865914e-03
4.628720000000347581e-05,-2.060976852483003413e-03
4.628800000000347757e-05,1.050987844365149429e-02
4.628880000000347932e-05,8.255981121183529267e-03
4.628960000000347430e-05,-6.955353584604817736e-03
4.629040000000347605e-05,4.407353192037317610e-03
4.629120000000347781e-05,1.910714906400398736e-03
4.629200000000347956e-05,8.409644866208021083e-03
4.629280000000348132e-05,3.008500373624028740e-03
4.629360000000347629e-05,1.086929671245064240e-02
4.629440000000347805e-05,-7.045483563999830300e-03
4.629520000000347980e-05,-8.108633634758388720e-03
4.629600000000347478e-05,-1.174636143490607153e-02
4.629680000000347653e-05,-4.877895287994820847e-03
4.629760000000347829e-05,-1.882714930038771866e-03
4.629840000000348004e-05,3.697929180777635889e-03
4.629920000000348180e-05,-1.661995919675174219e-03
4.630000000000347678e-05,5.092107458071285994e-03
4.630080000000347853e-05,-2.327623604110492985e-03
4.630160000000348028e-05,1.545131354514804427e-02
4.630240000000347526e-05,4.379335024782150983e-03
4.630320000000347702e-05,9.294730235813128752e-03
4.630400000000347877e-05,-1.495707005693776986e-02
4.630480000000348052e-05,2.542930928190180115e-02
4.630560000000348228e-05,-6.700338376745361597e-03
4.630640000000347726e-05,-1.891916188914481017e-02
4.630720000000347901e-05,-6.790985177927148959e-03
4.630800000000348076e-05,9.220398934338795011e-03
4.630880000000347574e-05,4.112784967487413505e-03
4.630960000000347750e-05,1.179863990208041349e-02
4.631040000000347925e-05,8.629134493123809257e-03
4.631120000000348100e-05,-7.992459594824133026e-03
4.631200000000348276e-05,-1.093835459854233978e-02
4.631280000000347774e-05,-1.375263575441083158e-02
4.631360000000347949e-05,5.800209368515924988e-03
4.631440000000348125e-05,-1.615963024634642364e-02
4.631520000000347622e-05,1.658598581393292554e-02
4.631600000000347798e-05,3.372915155178555970e-03
4.631680000000347973e-05,1.733023906813665159e-03
4.631760000000348149e-05,-1.747188736105259599e-02
4.631840000000348324e-05,1.125281168831304864e-02
4.631920000000347822e-05,-6.285207992814159129e-03
4.632000000000347997e-05,-2.002976227054532356e-03
4.632080000000348173e-05,1.705179784210579877e-02
4.632160000000347670e-05,-8.846014019994616340e-03
4.632240000000347846e-05,5.705592655135337254e-03
4.632320000000348021e-05,-1.822153711763521353e-02
4.632400000000348197e-05,1.745284514741316352e-03
4.632480000000348372e-05,7.665117533660262619e-03
4.632560000000347870e-05,-9.726437534725714332e-03
4.632640000000348045e-05,5.173170009913068135e-03
4.632720000000348221e-05,-1.412946375565371851e-02
4.632800000000347718e-05,-1.234738337350692675e-02
4.632880000000347894e-05,-7.374264687384279003e-03
4.632960000000348069e-05,-6.318296061843904285e-03
4.633040000000348245e-05,-2.763763432252495586e-02
4.633120000000348420e-05,3.448915015796383179e-03
